country,year,population,beef,pig,poultry,sheep,beef_emissions,pig_emissions,poultry_emissions,sheep_emissions,total_meat_consumption,total_meat_emissions,country_name,region
ARG,1990,32.580853999999995,55.559,3.674,8.66,2.282,108609.58004315998,837.9144031719998,1692.9011738399995,1784.3882118719996,70.175,112924.78383204399,Argentina,Latin America
ARG,1991,33.028546,51.817,3.612,8.88,2.347,102686.41008491999,835.093757064,1759.7609308800002,1860.431939088,66.65599999999999,107141.69671195198,Argentina,Latin America
ARG,1992,33.475004999999996,50.98,4.487,10.027000000000001,1.8940000000000001,102393.34529399998,1051.416432045,2013.9232508100001,1521.63982728,67.388,106980.32480413499,Argentina,Latin America
ARG,1993,33.91744,51.678000000000004,4.851,15.442,1.869,105167.1278592,1151.73451008,3142.51865088,1521.40068864,73.84,110982.7817088,Argentina,Latin America
ARG,1994,34.353066,48.593999999999994,4.837,18.392,2.374,100161.17335223997,1163.1604616939999,3790.929539232,1957.3002884159998,74.19699999999999,107072.56364158198,Argentina,Latin America
ARG,1995,34.779096,43.693000000000005,5.086,18.662,2.233,91176.18249168001,1238.2053757920003,3894.284937312,1863.8813128320003,69.674,98172.55411761602,Argentina,Latin America
ARG,1996,35.195575,44.218999999999994,4.888999999999999,19.63,1.787,93378.78785549999,1204.4981632249999,4145.334823499999,1509.4678205999999,70.52499999999999,100238.08866282499,Argentina,Latin America
ARG,1997,35.604362,44.86,4.747,19.005,1.625,95832.7007592,1183.097344898,4059.9653988600003,1388.570118,70.237,102464.333620958,Argentina,Latin America
ARG,1998,36.005387,41.633,5.475,19.803,1.421,89940.73661826001,1379.9064567749997,4278.088072566,1227.927718248,68.33200000000001,96826.658865849,Argentina,Latin America
ARG,1999,36.398577,45.76,6.148,23.041,1.3359999999999999,99935.9330112,1566.449159772,5031.957675942001,1167.083972928,76.285,107701.423819842,Argentina,Latin America
ARG,2000,36.783859,45.282,5.989,22.901999999999997,1.412,99938.80219428,1542.089720857,5054.543632907999,1246.531413792,75.585,107781.966961837,Argentina,Latin America
ARG,2001,37.156653999999996,43.988,4.783,22.024,1.3969999999999998,98066.81376912,1244.041932574,4910.028886176,1245.7882953119997,72.19200000000001,105466.672883182,Argentina,Latin America
ARG,2002,37.537783000000005,40.505,4.445,15.424000000000001,1.3630000000000002,91228.07402490001,1167.9881180450002,3473.896589952001,1227.9359574960004,61.737,97097.894690393,Argentina,Latin America
ARG,2003,37.927463,41.864,3.951,16.121,1.3090000000000002,95267.71866192,1048.959844191,3668.571786138,1191.5291776080003,63.24499999999999,101176.77946985699,Argentina,Latin America
ARG,2004,38.325927,43.711000000000006,4.255,18.887999999999998,1.26,100515.87570582001,1141.537735695,4343.400655055999,1158.97603248,68.11400000000002,107159.79012905102,Argentina,Latin America
ARG,2005,38.733406,42.824,4.825,21.145,1.188,99523.16271264,1308.2207876500001,4914.10721922,1104.366871872,69.982,106849.857591382,Argentina,Latin America
ARG,2006,39.127239,44.105,5.93,24.338,1.157,103542.41256570001,1624.17169089,5713.672456692,1086.4851725520002,75.52999999999999,111966.74188583401,Argentina,Latin America
ARG,2007,39.52944,47.41,6.045,25.741999999999997,1.177,112445.445024,1672.6882536,6105.401066879999,1116.6276211200002,80.37400000000001,121340.16196560001,Argentina,Latin America
ARG,2008,39.940234000000004,47.251000000000005,5.933,27.954,1.102,113232.95980404002,1658.757858254,6698.935807416001,1056.3393088320001,82.24000000000001,122646.99277854202,Argentina,Latin America
ARG,2009,40.359828,46.961000000000006,6.415,29.733,1.0390000000000001,113720.27296248001,1812.35807634,7200.112595544,1006.4126710080001,84.14800000000001,123739.15630537202,Argentina,Latin America
ARG,2010,40.788453000000004,39.622,6.1370000000000005,31.511,1.032,96967.20508596001,1752.2311524270003,7711.709654898001,1010.248403904,78.30199999999999,107441.39429718902,Argentina,Latin America
ARG,2011,41.26149,38.402,6.582000000000001,35.01,1.087,95071.42433880002,1901.0818902600001,8667.3885894,1076.42975112,81.081,106716.32456958001,Argentina,Latin America
ARG,2012,41.733271,40.476,6.635,36.864000000000004,1.182,101351.75261976001,1938.3017715950002,9230.731812864,1183.889431728,85.157,113704.67563594702,Argentina,Latin America
ARG,2013,42.202935,44.056000000000004,7.879,35.685,1.1520000000000001,111557.5502616,2327.6184740549998,9036.07041285,1166.82674688,88.772,124088.065895385,Argentina,Latin America
ARG,2014,42.6695,40.955999999999996,8.026,36.692,1.22,104854.32251999999,2397.2578489999996,9393.775764,1249.36296,86.894,117894.71909299999,Argentina,Latin America
ARG,2015,43.131966,41.07899999999999,8.631,39.253,1.147,106309.08187883998,2605.9039898220003,10158.354368388,1187.3367600479999,90.11,120260.67699709798,Argentina,Latin America
ARG,2016,43.590368,39.042,9.674,38.925,1.012,102111.30884736,2951.8525402239998,10180.530446399998,1058.722857984,88.65299999999999,116302.41469196799,Argentina,Latin America
ARG,2017,44.044810999999996,39.575,10.421,38.343,0.9690000000000001,104584.4037195,3212.9368280169992,10132.861129038,1024.306124616,89.30799999999999,118954.50780117101,Argentina,Latin America
ARG,2018,44.494502000000004,38.881,11.054,38.464,0.9690000000000001,103799.44393572002,3442.895575756,10268.619149568001,1034.7641385120003,89.368,118545.72279955601,Argentina,Latin America
AUS,1990,17.065128,0.0,0.0,22.051,19.012999999999998,0.0,0.0,2257.818825168,7787.022687936,41.06399999999999,10044.841513104,Australia,Oceania
AUS,1991,17.284035999999997,27.941999999999997,14.520999999999999,22.35,19.415,28977.032034719992,1756.8704072919995,2317.7892276,8053.669414559998,84.22799999999998,41105.36108417199,Australia,Oceania
AUS,1992,17.478635,26.405,15.255999999999998,22.436,17.961,27691.401430500002,1866.5783889199997,2352.90392916,7534.4103176399985,82.058,39445.29406622,Australia,Oceania
AUS,1993,17.634808,26.37,15.082,23.807,17.49,27901.7932176,1861.7772197919999,2518.991244336,7402.387006079998,82.749,39684.948687808,Australia,Oceania
AUS,1994,17.805467999999998,25.662,15.645999999999999,24.473000000000003,18.505,27415.435188959993,1950.0904662959997,2614.5193101839996,7907.764448159998,84.286,39887.80941359999,Australia,Oceania
AUS,1995,18.004882000000002,25.526,15.652000000000001,24.217,15.115,27575.55707592,1972.6868914480003,2616.145364364,6531.450994320001,80.50999999999999,38695.840326052006,Australia,Oceania
AUS,1996,18.224767,27.453000000000003,14.478,24.615,14.795,30019.47170706,1847.007236382,2691.6158382299996,6471.250266359999,81.34100000000001,41029.345048032,Australia,Oceania
AUS,1997,18.423037,29.0,14.857999999999999,25.791,15.062999999999999,32056.084380000004,1916.1063862219999,2850.891283602,6660.148951944,84.712,43483.23100176801,Australia,Oceania
AUS,1998,18.607584,26.765,15.257,27.643,15.475999999999999,29881.9191456,1987.271363616,3086.216667072,6911.303279615999,85.14099999999999,41866.710455904,Australia,Oceania
AUS,1999,18.812264000000003,28.095,15.193,28.002,15.25,31711.8334248,2000.7030886640005,3160.686099168,6885.288624000001,86.53999999999999,43758.511236632,Australia,Oceania
AUS,2000,19.028802,26.515,15.651,29.682,16.368,30272.9211018,2084.7384607139998,3388.8774057839996,7475.122347263999,88.216,43221.659315562,Australia,Oceania
AUS,2001,19.274701,24.605999999999998,14.892000000000001,29.225,14.977,28456.39756836,2009.2719310440002,3379.8188203500004,6928.252725048001,83.7,40773.741044802,Australia,Oceania
AUS,2002,19.49521,25.263,16.418,32.494,13.779000000000002,29550.4494138,2240.50650446,3800.86412244,6446.987966160001,87.954,42038.80800686,Australia,Oceania
AUS,2003,19.720737,25.958000000000002,17.593,31.406999999999996,12.152999999999999,30714.65346276,2428.6284822869998,3716.2151217539995,5751.986802263999,87.11099999999999,42611.483869065,Australia,Oceania
AUS,2004,19.932722000000002,28.719,17.718,32.81,11.984000000000002,34346.870587080004,2472.1757787720003,3923.955652920001,5732.969770752002,91.231,46475.971789524,Australia,Oceania
AUS,2005,20.176844,27.19,18.863,34.092,11.992,32916.5033016,2664.170658604,4127.213793888,5807.057117952,92.137,45514.944872044,Australia,Oceania
AUS,2006,20.450966,27.03,18.409000000000002,35.187,12.37,33167.3766588,2635.3728316580005,4317.648843852,6071.48278608,92.99600000000001,46191.881120390004,Australia,Oceania
AUS,2007,20.827622,24.166,20.221,34.769,12.587,30199.218795120003,2948.0874112340002,4344.933535908,6291.774674736,91.74300000000001,43784.014416998005,Australia,Oceania
AUS,2008,21.249199,23.343000000000004,19.17,33.260999999999996,10.992,29761.203135420004,2851.43001381,4240.617647634,5605.708689792001,86.766,42458.95948665601,Australia,Oceania
AUS,2009,21.691653,23.454,19.744,33.578,10.334000000000001,30525.361767719998,2997.959977824,4370.173946604,5379.877010448001,87.11000000000001,43273.372702595996,Australia,Oceania
AUS,2010,22.03175,25.31,20.129,37.645,8.972999999999999,33457.41555,3104.33967025,4976.3113725,4744.581425999999,92.057,46282.64801875,Australia,Oceania
AUS,2011,22.340024,23.287,19.486,39.499,8.046,31213.92833328,3047.223953648,5294.451647856,4313.947994496,90.31799999999998,43869.55192928,Australia,Oceania
AUS,2012,22.733465,22.435,20.502,40.319,8.722999999999999,30601.517236499996,3262.5704960099997,5499.543452010001,4759.29636468,91.979,44122.927549199994,Australia,Oceania
AUS,2013,23.128129,23.744,19.9,40.161,8.722999999999999,32949.25769856,3221.7483697,5573.092732614001,4841.9200624079995,92.528,46586.018863282,Australia,Oceania
AUS,2014,23.475686,22.587,20.174,40.806,8.116,31814.719180919998,3315.189425548,5747.693057495999,4572.688021823999,91.68299999999999,45450.289685788,Australia,Oceania
AUS,2015,23.815995,20.519000000000002,21.77,41.989,9.346,29320.824084300002,3629.31947805,6000.05888433,5342.02294248,93.624,44292.22538916,Australia,Oceania
AUS,2016,24.190907,19.473,21.4,44.512,8.5,28264.17192066,3623.7978686,6460.713914304,4934.945028,93.88499999999999,43283.628731564,Australia,Oceania
AUS,2017,24.601860000000002,21.250999999999998,22.061999999999998,43.349,7.755,31368.8476116,3799.36364724,6398.79617484,4578.898183200001,94.41699999999999,46145.905616879994,Australia,Oceania
AUS,2018,24.99286,19.965,21.395,42.353,6.982,29938.946994,3743.0556779000003,6351.135597480001,4188.00356448,90.695,44221.141833860005,Australia,Oceania
BRA,1990,148.935328,20.868000000000002,5.562,12.513,0.6759999999999999,186478.94548224,5798.648060352,11181.766555584,2416.326761472,39.61900000000001,205875.686859648,Brazil,Latin America
